date,price,cumcasesbyspecimendate
21-06-2020,,277846
22-06-2020,,278740
23-06-2020,,279628
24-06-2020,,280404
25-06-2020,,281122
26-06-2020,,281790
27-06-2020,,282442
28-06-2020,,282888
29-06-2020,,283616
30-06-2020,,284233
01-07-2020,5.1066666,284890
02-07-2020,,285499
03-07-2020,,286074
04-07-2020,,286475
05-07-2020,,287031
06-07-2020,,287734
07-07-2020,,288338
08-07-2020,,289041
09-07-2020,,289758
10-07-2020,,290324
11-07-2020,,290771
12-07-2020,,291140
13-07-2020,,291874
14-07-2020,,292566
15-07-2020,,293339
16-07-2020,,294044
17-07-2020,,294625
18-07-2020,,295121
19-07-2020,,295565
20-07-2020,,296377
21-07-2020,,297158
22-07-2020,,297953
23-07-2020,,298747
24-07-2020,,299519
25-07-2020,,300042
26-07-2020,,300600
27-07-2020,,301455
28-07-2020,,302295
29-07-2020,,303332
30-07-2020,,304256
31-07-2020,,304932
01-08-2020,5.0152631,305474
02-08-2020,,306027
03-08-2020,,307063
04-08-2020,,308081
05-08-2020,,309138
06-08-2020,,310219
07-08-2020,,311162
08-08-2020,,311857
09-08-2020,,312471
10-08-2020,,313939
11-08-2020,,315281
12-08-2020,,316488
13-08-2020,,317628
14-08-2020,,318789
15-08-2020,,319482
16-08-2020,,320080
17-08-2020,,321358
18-08-2020,,322440
19-08-2020,,323680
20-08-2020,,325139
21-08-2020,,326337
22-08-2020,,327161
23-08-2020,,327985
24-08-2020,,329257
25-08-2020,,330502
26-08-2020,,331851
27-08-2020,,333400
28-08-2020,,335021
29-08-2020,,336242
30-08-2020,,337400
31-08-2020,,338900
01-09-2020,5.0744257,341149
02-09-2020,,344142
03-09-2020,,347236
04-09-2020,,350272
05-09-2020,,352812
06-09-2020,,355250
07-09-2020,,359107
08-09-2020,,362410
09-09-2020,,365737
10-09-2020,,369311
11-09-2020,,372596
12-09-2020,,375250
13-09-2020,,377379
14-09-2020,,380753
15-09-2020,,384290
16-09-2020,,388638
17-09-2020,,393253
18-09-2020,,398206
19-09-2020,,403052
20-09-2020,,408365
21-09-2020,,413958
22-09-2020,,420356
23-09-2020,,427402
24-09-2020,,435000
25-09-2020,,442232
26-09-2020,,448976
27-09-2020,,455945
28-09-2020,,465860
29-09-2020,,476088
30-09-2020,,488639
01-10-2020,4.8699999,501818
02-10-2020,,515499
03-10-2020,,527015
04-10-2020,,538807
05-10-2020,,555347
06-10-2020,,572390
07-10-2020,,590695
08-10-2020,,608916
09-10-2020,,624629
10-10-2020,,637126
11-10-2020,,649177
12-10-2020,,668597
13-10-2020,,687472
14-10-2020,,707152
15-10-2020,,725560
16-10-2020,,743265
17-10-2020,,758013
18-10-2020,,772200
19-10-2020,,797792
20-10-2020,,823099
21-10-2020,,848520
22-10-2020,,871741
23-10-2020,,893190
24-10-2020,,909410
25-10-2020,,925125
26-10-2020,,951667
27-10-2020,,975744
28-10-2020,,999344
29-10-2020,,1022670
30-10-2020,,1045319
31-10-2020,,1061796
01-11-2020,4.9991164,1077540
02-11-2020,,1109040
03-11-2020,,1134611
04-11-2020,,1158276
05-11-2020,,1182007
06-11-2020,,1205323
07-11-2020,,1223836
08-11-2020,,1243791
09-11-2020,,1274831
10-11-2020,,1302236
11-11-2020,,1329575
12-11-2020,,1354033
13-11-2020,,1378059
14-11-2020,,1396047
15-11-2020,,1412063
16-11-2020,,1438630
17-11-2020,,1461784
18-11-2020,,1482528
19-11-2020,,1500269
20-11-2020,,1517108
21-11-2020,,1529454
22-11-2020,,1541189
23-11-2020,,1559947
24-11-2020,,1576394
25-11-2020,,1593005
26-11-2020,,1607565
27-11-2020,,1621929
28-11-2020,,1632891
29-11-2020,,1643570
30-11-2020,,1661572
01-12-2020,4.6346011,1678024
02-12-2020,,1694493
03-12-2020,,1710112
04-12-2020,,1725765
05-12-2020,,1738492
06-12-2020,,1752064
07-12-2020,,1773383
08-12-2020,,1794158
09-12-2020,,1815757
10-12-2020,,1838347
11-12-2020,,1862398
12-12-2020,,1881748
13-12-2020,,1903724
14-12-2020,,1938418
15-12-2020,,1972254
16-12-2020,,2007161
17-12-2020,,2041054
18-12-2020,,2076878
19-12-2020,,2102012
20-12-2020,,2134453
21-12-2020,,2181814
22-12-2020,,2227458
23-12-2020,,2269612
24-12-2020,,2301411
25-12-2020,,2315580
26-12-2020,,2355945
27-12-2020,,2403639
28-12-2020,,2449211
29-12-2020,,2530694
30-12-2020,,2601445
31-12-2020,,2654226
01-01-2021,4.7504225,2686057
02-01-2021,,2746448
03-01-2021,,2801604
04-01-2021,,2877747
05-01-2021,,2942832
06-01-2021,,3000201
07-01-2021,,3052143
08-01-2021,,3099117
09-01-2021,,3138201
10-01-2021,,3174528
11-01-2021,,3231622
12-01-2021,,3280986
13-01-2021,,3326370
14-01-2021,,3368738
15-01-2021,,3409110
16-01-2021,,3439631
17-01-2021,,3468468
18-01-2021,,3513222
19-01-2021,,3552668
20-01-2021,,3587728
21-01-2021,,3619384
22-01-2021,,3648904
23-01-2021,,3670723
24-01-2021,,3687872
25-01-2021,,3717764
26-01-2021,,3744724
27-01-2021,,3770390
28-01-2021,,3794520
29-01-2021,,3816289
30-01-2021,,3832955
31-01-2021,,3848326
01-02-2021,4.8877993,3870652
02-02-2021,,3890401
03-02-2021,,3909793
04-02-2021,,3927748
05-02-2021,,3943589
06-02-2021,,3955546
07-02-2021,,3966920
08-02-2021,,3982624
09-02-2021,,3996420
10-02-2021,,4009901
11-02-2021,,4022641
12-02-2021,,4034801
13-02-2021,,4043557
14-02-2021,,4052311
15-02-2021,,4066573
16-02-2021,,4079055
17-02-2021,,4090617
18-02-2021,,4102027
19-02-2021,,4112403
20-02-2021,,4120455
21-02-2021,,4128323
22-02-2021,,4139563
23-02-2021,,4148945
24-02-2021,,4157492
25-02-2021,,4165212
26-02-2021,,4171780
27-02-2021,,4176596
28-02-2021,,4181311
01-03-2021,5.075634,4188185
02-03-2021,,4194838
03-03-2021,,4200812
04-03-2021,,4206537
05-03-2021,,4211836
06-03-2021,,4216340
07-03-2021,,4220625
08-03-2021,,4227269
09-03-2021,,4233499
10-03-2021,,4239534
11-03-2021,,4245305
12-03-2021,,4250894
13-03-2021,,4255139
14-03-2021,,4259439
15-03-2021,,4265943
16-03-2021,,4271618
17-03-2021,,4277387
18-03-2021,,4282862
19-03-2021,,4287860
20-03-2021,,4291962
21-03-2021,,4297195
22-03-2021,,4303396
23-03-2021,,4308654
24-03-2021,,4314671
25-03-2021,,4320075
26-03-2021,,4324467
27-03-2021,,4328006
